community,size
22,39411
20,16742
23,10508
523,10234
2,9703
9,8206
32,3481
1,1583
51,1555
3,1292
128,1240
61,1117
21,1013
98,956
142,831
105,702
48,697
536,660
199,633
33,608
24,502
140,476
4,475
69,453
25,443
37,435
68,409
31,368
82,351
234,350
29,315
52,305
34,298
145,293
600,245
114,225
986,225
43,209
59,206
5,205
161,202
163,186
193,179
206,172
79,153
49,152
144,152
264,152
117,147
646,142
12,139
62,120
8,118
647,113
0,109
1101,99
121,97
39,93
50,92
222,91
15,87
321,86
602,85
65,84
152,84
46,80
262,80
430,80
349,79
426,79
215,78
78,72
91,72
611,66
460,65
73,63
6,62
14,60
452,60
466,59
26,58
352,55
582,54
160,50
30,48
1186,48
1447,48
404,47
615,47
81,46
188,46
10,44
1251,44
171,41
273,41
294,41
83,40
44,39
1202,39
27,38
214,36
461,36
554,36
670,36
1195,36
179,35
92,34
120,34
122,34
118,33
409,33
773,33
877,32
300,31
330,31
64,30
354,29
418,29
165,28
240,28
443,28
16,27
103,27
406,27
1082,27
77,26
112,26
204,26
289,26
561,26
819,25
825,25
134,24
47,23
346,23
441,23
250,22
290,22
391,22
666,22
1244,22
227,21
243,21
413,21
650,21
663,21
694,21
828,21
90,20
106,20
154,20
248,20
556,20
1475,20
148,19
236,19
278,19
377,19
644,19
727,19
888,19
1524,19
36,18
414,18
486,18
1539,18
109,17
119,17
288,17
428,17
695,17
1407,17
1865,17
38,16
297,16
313,16
963,16
1303,16
228,15
282,15
296,15
387,15
444,15
482,15
484,15
575,15
673,15
1138,15
1393,15
56,14
107,14
229,14
751,14
873,14
999,14
1292,14
1540,14
66,13
108,13
149,13
159,13
327,13
411,13
661,13
715,13
784,13
859,13
1028,13
1198,13
1259,13
45,12
88,12
167,12
182,12
347,12
382,12
394,12
521,12
592,12
913,12
959,12
7,11
40,11
74,11
116,11
184,11
293,11
322,11
368,11
396,11
416,11
419,11
533,11
595,11
596,11
636,11
703,11
707,11
743,11
800,11
1018,11
1304,11
1315,11
1359,11
1510,11
42,10
113,10
164,10
170,10
195,10
202,10
208,10
263,10
292,10
301,10
324,10
342,10
402,10
550,10
567,10
621,10
641,10
1045,10
1070,10
1199,10
1355,10
1386,10
1409,10
1783,10
123,9
146,9
150,9
187,9
190,9
249,9
268,9
357,9
359,9
378,9
531,9
597,9
829,9
938,9
1172,9
1204,9
1285,9
1318,9
1446,9
1450,9
1460,9
1579,9
2002,9
2161,9
2234,9
2324,9
2339,9
2520,9
2936,9
3055,9
18,8
155,8
205,8
256,8
258,8
308,8
311,8
348,8
369,8
383,8
405,8
432,8
436,8
481,8
493,8
501,8
507,8
509,8
520,8
738,8
812,8
884,8
886,8
928,8
933,8
968,8
993,8
1215,8
1353,8
1372,8
1411,8
1459,8
1556,8
1559,8
1567,8
1597,8
2630,8
11,7
102,7
172,7
239,7
304,7
309,7
379,7
380,7
435,7
445,7
462,7
488,7
490,7
557,7
580,7
631,7
649,7
696,7
710,7
750,7
827,7
909,7
992,7
1103,7
1157,7
1196,7
1293,7
1340,7
1371,7
1392,7
1486,7
1670,7
1736,7
1809,7
1846,7
1965,7
1983,7
2006,7
2030,7
2074,7
28,6
71,6
80,6
125,6
131,6
168,6
196,6
218,6
231,6
247,6
253,6
259,6
283,6
360,6
386,6
392,6
397,6
439,6
459,6
514,6
525,6
539,6
547,6
549,6
563,6
565,6
598,6
613,6
637,6
683,6
711,6
730,6
737,6
786,6
805,6
834,6
869,6
872,6
911,6
915,6
954,6
1012,6
1017,6
1019,6
1060,6
1069,6
1184,6
1352,6
1578,6
1582,6
1829,6
1837,6
1911,6
1912,6
1937,6
1963,6
1968,6
2045,6
2062,6
2094,6
2152,6
2188,6
2194,6
2226,6
2251,6
2253,6
2296,6
2451,6
2573,6
2627,6
13,5
86,5
89,5
97,5
133,5
141,5
143,5
162,5
169,5
185,5
198,5
200,5
211,5
219,5
220,5
233,5
238,5
252,5
271,5
286,5
295,5
302,5
343,5
350,5
356,5
372,5
388,5
415,5
429,5
431,5
446,5
453,5
487,5
495,5
529,5
559,5
622,5
642,5
653,5
674,5
681,5
702,5
722,5
744,5
771,5
774,5
799,5
836,5
856,5
904,5
924,5
925,5
937,5
979,5
1009,5
1025,5
1027,5
1038,5
1040,5
1043,5
1050,5
1089,5
1133,5
1142,5
1144,5
1169,5
1188,5
1220,5
1221,5
1235,5
1242,5
1260,5
1301,5
1310,5
1328,5
1362,5
1391,5
1398,5
1414,5
1415,5
1425,5
1431,5
1438,5
1457,5
1461,5
1473,5
1499,5
1505,5
1519,5
1545,5
1555,5
1557,5
1561,5
1605,5
1644,5
1652,5
1663,5
1669,5
1704,5
1776,5
1841,5
1857,5
1893,5
1947,5
1967,5
1972,5
1980,5
2317,5
2367,5
2448,5
2490,5
2505,5
2591,5
2600,5
2605,5
2625,5
2642,5
2643,5
2693,5
2736,5
2738,5
67,4
70,4
100,4
101,4
110,4
124,4
126,4
156,4
175,4
178,4
189,4
203,4
207,4
223,4
242,4
246,4
251,4
254,4
270,4
274,4
275,4
279,4
307,4
314,4
315,4
341,4
363,4
364,4
381,4
423,4
437,4
456,4
478,4
489,4
491,4
496,4
497,4
511,4
538,4
541,4
544,4
558,4
603,4
607,4
610,4
617,4
625,4
627,4
632,4
634,4
654,4
665,4
667,4
668,4
680,4
690,4
692,4
701,4
714,4
721,4
745,4
755,4
758,4
770,4
772,4
775,4
778,4
787,4
788,4
814,4
832,4
848,4
875,4
906,4
922,4
923,4
936,4
947,4
949,4
983,4
989,4
990,4
1032,4
1035,4
1037,4
1039,4
1051,4
1075,4
1094,4
1105,4
1113,4
1129,4
1162,4
1165,4
1178,4
1185,4
1225,4
1236,4
1241,4
1250,4
1254,4
1274,4
1294,4
1309,4
1329,4
1336,4
1338,4
1349,4
1363,4
1375,4
1376,4
1378,4
1383,4
1388,4
1389,4
1390,4
1396,4
1400,4
1458,4
1471,4
1472,4
1498,4
1501,4
1503,4
1517,4
1553,4
1566,4
1576,4
1589,4
1600,4
1619,4
1631,4
1649,4
1673,4
1677,4
1683,4
1706,4
1713,4
1728,4
1730,4
1732,4
1743,4
1757,4
1766,4
1769,4
1772,4
1785,4
1786,4
1794,4
1798,4
1821,4
1863,4
1867,4
1885,4
1894,4
1902,4
1908,4
1917,4
1922,4
1939,4
1943,4
1946,4
1948,4
1975,4
1984,4
1998,4
2001,4
2029,4
2071,4
2079,4
2103,4
2110,4
2112,4
2144,4
2159,4
2160,4
2164,4
2170,4
2173,4
2174,4
2198,4
2211,4
2220,4
2243,4
2284,4
2303,4
2314,4
2328,4
2337,4
2352,4
2360,4
2368,4
2409,4
2416,4
2431,4
2438,4
2455,4
2465,4
2477,4
2561,4
2585,4
2590,4
2598,4
2655,4
2688,4
2716,4
2763,4
2766,4
2774,4
2803,4
2817,4
2833,4
2923,4
2950,4
2951,4
3086,4
3112,4
3137,4
3185,4
3222,4
3290,4
3291,4
3325,4
3342,4
3981,4
19,3
75,3
85,3
95,3
99,3
104,3
111,3
115,3
127,3
129,3
132,3
136,3
147,3
166,3
173,3
180,3
183,3
186,3
192,3
209,3
212,3
216,3
226,3
241,3
244,3
245,3
261,3
265,3
267,3
272,3
277,3
281,3
303,3
317,3
319,3
329,3
332,3
334,3
340,3
353,3
355,3
362,3
367,3
373,3
375,3
376,3
389,3
395,3
400,3
412,3
417,3
420,3
422,3
425,3
427,3
434,3
450,3
454,3
458,3
464,3
465,3
468,3
470,3
472,3
473,3
474,3
475,3
476,3
494,3
500,3
504,3
506,3
515,3
519,3
526,3
527,3
535,3
537,3
543,3
546,3
569,3
